,Mean_Danger_Rating,"Population, 2016",Popn_prop,Total private dwellings,Dwellin_propn,Population density per square kilometre,Popn_density_Comp_to_city,Children (0-14 years),Children_propn,Seniors (65+ years),Older Seniors (85+ years),Seniors (>65),Seniors_propn,Average household size,Avg_household_size_comp_to_city,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Commuters_into_neigh_propn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
city_of_toronto,,"2,731,571",1.0000,"1,179,057",1.0000,"4,334",1.000,"398,135",1.0000,"426,945","66,000","492,945",1.000,2.42,1.0000,"1,091,700",1.0000,,,,,,,,,,,,,,,,,,,,,,,,
agincourt_north,1.307692308,"29,113",0.0107,"9,371",0.0079,"3,929",0.907,"3,840",0.0096,"6,045",925,"6,970",0.014,3.16,1.3058,"10,330",0.0095,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,5.00,10.00,0.00,0.00,5.00,10.00,10.00,0.00,20.00,15.00,0.00,5.00,10.00,0.00,0.00
agincourt_south_malvern_west,1.363636364,"23,757",0.0087,"8,535",0.0072,"3,034",0.700,"3,075",0.0077,"4,105",555,"4,660",0.009,2.88,1.1901,"8,800",0.0081,0.00,0.00,0.00,0.00,0.00,5.26,0.00,15.79,0.00,5.26,0.00,0.00,5.26,0.00,5.26,15.79,15.79,10.53,5.26,5.26,5.26,0.00,0.00,5.26
alderwood,1.166666667,"12,054",0.0044,"4,732",0.0040,"2,435",0.562,"1,760",0.0044,"2,015",320,"2,335",0.005,2.6,1.0744,"5,155",0.0047,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00
annex,1.314285714,"30,526",0.0112,"18,109",0.0154,"10,863",2.506,"2,360",0.0059,"5,910","1,040","6,950",0.014,1.8,0.7438,"13,540",0.0124,0.00,0.00,11.11,0.00,0.00,0.00,0.00,7.41,0.00,7.41,11.11,7.41,11.11,3.70,3.70,7.41,3.70,0.00,0.00,3.70,0.00,14.81,3.70,3.70
banbury_don_mills,1.558823529,"27,695",0.0101,"12,473",0.0106,"2,775",0.640,"3,605",0.0091,"6,975","1,640","8,615",0.017,2.23,0.9215,"10,200",0.0093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,9.09,0.00,0.00,9.09,0.00,0.00,27.27,0.00,9.09,9.09,9.09,9.09
bathurst_manor,1.578947368,"15,873",0.0058,"6,418",0.0054,"3,377",0.779,"2,325",0.0058,"2,940",710,"3,650",0.007,2.56,1.0579,"6,250",0.0057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,12.50,12.50,0.00,12.50,12.50,12.50
bay_street_corridor,1.318181818,"25,797",0.0094,"18,436",0.0156,"14,097",3.253,"1,695",0.0043,"2,420",330,"2,750",0.006,1.7,0.7025,"10,970",0.0100,2.13,2.13,2.13,2.13,2.13,2.13,0.00,0.00,4.26,6.38,2.13,6.38,2.13,4.26,10.64,6.38,2.13,2.13,2.13,12.77,8.51,6.38,6.38,4.26
bayview_village,1.590909091,"21,396",0.0078,"10,111",0.0086,"4,195",0.968,"2,415",0.0061,"3,615",610,"4,225",0.009,2.22,0.9174,"8,910",0.0082,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,13.33,6.67,6.67,6.67,13.33,0.00,0.00,0.00,0.00,6.67,0.00,6.67,20.00,0.00,0.00
bayview_woods_steeles,1.333333333,"13,154",0.0048,"4,895",0.0042,"3,240",0.748,"1,515",0.0038,"3,685",740,"4,425",0.009,2.7,1.1157,"4,435",0.0041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00
bedford_park_nortown,1.490566038,"23,236",0.0085,"9,052",0.0077,"4,209",0.971,"4,555",0.0114,"3,980",660,"4,640",0.009,2.68,1.1074,"8,735",0.0080,0.00,0.00,4.35,0.00,0.00,0.00,4.35,0.00,8.70,8.70,0.00,4.35,4.35,4.35,8.70,0.00,0.00,26.09,13.04,8.70,4.35,0.00,0.00,0.00
